Date,China,Korea,US
1,548,1,1
2,643,1,1
3,920,2,2
4,1406,2,2
5,2075,3,5
6,2877,4,5
7,5509,4,5
8,6087,4,5
9,8141,4,5
10,9802,11,7
11,11891,12,8
12,16630,15,8
13,19716,15,11
14,23707,16,11
15,27440,19,11
16,30587,23,11
17,34110,24,11
18,36814,24,11
19,39829,25,11
20,42354,27,11
21,44386,28,12
22,44759,28,12
23,59895,28,13
24,66358,28,13
25,68413,28,13
26,70513,29,13
27,72434,30,13
28,74211,31,13
29,74619,31,13
30,75077,104,13
31,75550,204,15
32,77001,433,15
33,77022,602,15
34,77241,833,51
35,77754,977,51
36,78166,1261,57
37,78600,1766,58
38,78928,2337,60
39,79356,3150,68
40,79932,3736,74
41,80136,4335,98
42,80261,5186,118
43,80386,5621,149
44,80537,6088,217
45,80690,6593,262
46,80770,7041,402
47,80823,7314,518
48,80860,7478,583
49,80887,7513,959
50,80921,7755,1281
51,80932,7869,1663
52,80945,7979,2179
53,80977,8086,2727
54,81003,8162,3499
55,81033,8236,4632
56,81058,8320,6421
57,81102,8413,7783
58,81156,8565,13747
59,81250,8652,19273
60,81305,8799,25600
61,81435,8961,33276
62,81498,8961,43843
63,81591,9037,53736
64,81661,9137,65778
65,81782,9241,83836
66,81897,9332,101657
67,81999,9478,121465
68,82122,9583,140909
69,82198,9661,161831
70,82279,9786,188172
71,82361,9887,213242
72,82432,9976,243622
73,82511,10062,275367
74,82543,10156,308650
75,82602,10237,336802
76,82665,10284,366317
77,82718,10331,397121
78,82809,10384,428654
79,82883,10423,462780
80,82941,10450,496535
81,83014,10480,526396
82,83134,10512,555313
83,83213,10537,580619
84,83306,10564,607670
85,83356,10591,636350
86,83403,10613,667592
87,83760,10635,699706
88,83787,10653,732197
89,83805,10661,758809
90,83817,10674,784326
91,83853,10683,811865
92,83868,10694,840351
93,83884,10708,869170
94,83899,10718,905358
95,83909,10728,938154
96,83912,10738,965785
97,83918,10752,988197
